Class

Name	NumAttr	NumOps	NumPubOps	Setters	Getters	Nesting	IFImpl	NOC	NumDesc	NumAnc	DIT	CLD	OpsInh	AttrInh	Dep_Out	Dep_In	NumAssEl_ssc	NumAssEl_sb	NumAssEl_nsb	EC_Attr	IC_Attr	EC_Par	IC_Par	Connectors	InstSpec	LLInst	MsgSent	MsgRecv	MsgSelf	Diags
unitunes_class_gb.Integer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.AlbumPorId	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Cadastro	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Favorito	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Scanner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Connection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0	0


Package

Name	NumCls	NumCls_tc	NumOpsCls	NumInterf	R	H	Ca	Ce	I	A	D	DN	Nesting	ConnComp	Dep_Out	Dep_In	DepPack	MsgSent_Outside	MsgRecv_Outside	MsgSent_within	Diags
unitunes_class_gb.db	8	8	33	0	12	1.625	24	23	0.4893617	0.0	-0.3610759	0.5106383	0	2	0	0	2	0	0	0	0
unitunes_class_gb.view	1	1	0	0	0	1.0	11	15	0.5769231	0.0	-0.29916066	0.42307693	0	1	0	0	2	0	0	0	0
unitunes_class_gb.controller	7	7	36	0	3	0.5714286	15	26	0.63414633	0.0	-0.2586977	0.36585367	0	6	0	0	3	0	0	0	0
unitunes_class_gb.model	7	7	79	0	0	0.14285715	14	17	0.5483871	0.0	-0.31933865	0.4516129	0	7	0	0	3	0	0	0	0
unitunes_class_gb.PrimitiveTypes	0	0	0	0	0	0.0	0	0	1.0	1.0	0.707107	1.0	0	0	0	0	0	0	0	0	0
